file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00172_0039_116595_to_118882,དེ་དང་མི་བདེ་རྨི་ལམ་འདྲར་བགྲངས་ཤིང་།  ,de dang mi bde rmi lam 'drar bgrangs shing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0039_116595_to_118882.wav,STT_AB,2,38,2.287,wav16k/STT_AB00172_0039_116595_to_118882.wav,བདེ་དང་མི་བདེ་རྨི་ལམ་དགྲ་དྲང་ཤིང་།
STT_AB00172_0032_93540_to_95042,བློ་དང་ལྡན་པ་རྣམས་ཀྱིས་ནི་ ,blo dang ldan pa rnams kyis ni _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0032_93540_to_95042.wav,STT_AB,2,27,1.502,wav16k/STT_AB00172_0032_93540_to_95042.wav,བློ་དང་ལྡན་པ་རྣམས་ཀྱིས་ནི་
STT_AB00172_0033_97073_to_99462,ཐོག་མ་ནས་ཐེག་པ་ཆེན་པོར་འཇུག་པར་རིགས་ཏེ།  ,thog ma nas theg pa chen por 'jug par rigs te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0033_97073_to_99462.wav,STT_AB,2,41,2.389,wav16k/STT_AB00172_0033_97073_to_99462.wav,ཐོག་མ་ནས་ཐེག་པ་ཆེན་པོར་འཇུག་པར་རིགས་ཏེ།
STT_AB00172_0062_190674_to_193694,དུད་འགྲོ་རྣམས་དང་ཡང་ཐུན་མོང་བ་ཡིན་པའི་ཕྱིར་རོ།  ,dud 'gro rnams dang yang thun mong ba yin pa'i phyir ro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0062_190674_to_193694.wav,STT_AB,2,48,3.02,wav16k/STT_AB00172_0062_190674_to_193694.wav,དུད་འགྲོ་རྣམས་དང་ཡང་ཐུན་མོང་བ་ཡིན་པའི་ཕྱིར་རོ།
STT_AB00172_0063_194735_to_195605,དེའི་ཕྱིར།  ,de'i phyir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0063_194735_to_195605.wav,STT_AB,2,12,0.87,wav16k/STT_AB00172_0063_194735_to_195605.wav,དེའི་ཕྱིར་
STT_AB00172_0064_196305_to_197909,ཆེན་པོ་རྣམས་ཀྱི་ངང་ཚུལ་ནི།  ,chen po rnams kyi ngang tshul ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0064_196305_to_197909.wav,STT_AB,2,28,1.604,wav16k/STT_AB00172_0064_196305_to_197909.wav,ཆེན་པོ་རྣམས་ཀྱི་ངང་ཚུལ་ནི།
STT_AB00172_0067_206254_to_209974,ཤིན་ཏུ་རྙེད་རྒྱུའི་རྩྭ་ཁམ་འགའ་ལྟ་ཕྱུགས་ཀྱང་རང་ཉིད་ཟ།  ,shin tu rnyed rgyu'i rtswa kham 'ga' lta phyugs kyang rang nyid za/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0067_206254_to_209974.wav,STT_AB,2,54,3.72,wav16k/STT_AB00172_0067_206254_to_209974.wav,ཤིན་ཏུ་རྙེད་དཀྱེའི་རྩ་ཁམ་འགའ་ལྟ་ཕྱུག་ཀྱང་རང་ཉིད་ཟ།
STT_AB00172_0641_2431441_to_2432039,ལྷུང་བ་ལ་ ,lhung ba la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0641_2431441_to_2432039.wav,STT_AB,2,10,0.598,wav16k/STT_AB00172_0641_2431441_to_2432039.wav,ལྷུང་བ་ལ་
STT_AB00172_0068_210827_to_214803,ཤིན་ཏུ་སྐོམ་པས་གདུངས་པའང་ཆུ་ཞིག་རྙེད་ན་དགའ་མགུར་འཐུང་།  ,shin tu skom pas gdungs pa'ang chu zhig rnyed na dga' mgur 'thung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0068_210827_to_214803.wav,STT_AB,2,56,3.976,wav16k/STT_AB00172_0068_210827_to_214803.wav,ཤིན་ཏུ་སྐོམ་པོས་བགདུངས་པའང་ཆུ་ཞིག་རྙེད་ན་དགའ་མགུར་མཐོང་།
STT_AB00172_0069_215861_to_218916,འདི་ན་སྐྱེས་བུ་གཞན་དོན་བྱེད་པར་བརྩོན་པ་གང་ཡིན་པ།  ,'di na skyes bu gzhan don byed par brtson pa gang yin pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0069_215861_to_218916.wav,STT_AB,2,50,3.055,wav16k/STT_AB00172_0069_215861_to_218916.wav,འདི་ན་སྐྱེས་བུ་གཞན་དོན་བྱེད་པར་བརྩོན་པ་གང་ཡིན་པ།
STT_AB00172_0072_228489_to_231680,ཁུར་ལ་མི་རྩོད་ས་ཡིས་འཇིག་རྟེན་འདེགས་པ་གང་ཡིན་ཏེ།  ,khur la mi rtsod sa yis 'jig rten 'degs pa gang yin te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0072_228489_to_231680.wav,STT_AB,2,50,3.191,wav16k/STT_AB00172_0072_228489_to_231680.wav,ཁུར་ལ་མི་རྩོད་ས་ཡི་འཇིག་རྟེན་འདས་པ་གང་ཡིན་ཏེ།
STT_AB00172_0037_108967_to_110998,ཐུབ་རྒྱལ་ཐེག་པ་སྙིང་རྗེས་བསྟན་པ་ལ།  ,thub rgyal theg pa snying rjes bstan pa la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0037_108967_to_110998.wav,STT_AB,2,36,2.031,wav16k/STT_AB00172_0037_108967_to_110998.wav,ཐུགས་རྒྱས་ཐེག་པ་སྙིང་རྗེས་བསྟན་པ་ལ།
STT_AB00172_0046_143131_to_143933,ཉམ་ང་བ་དང་ ,nyam nga ba dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0046_143131_to_143933.wav,STT_AB,2,11,0.802,wav16k/STT_AB00172_0046_143131_to_143933.wav,ཉམས་ང་བ་དང་
STT_AB00172_0041_123609_to_126271,ལས་ཀྱི་དམ་པ་གཞན་དོན་དགའ་བོར་ཞིང་།  ,las kyi dam pa gzhan don dga' bor zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0041_123609_to_126271.wav,STT_AB,2,35,2.662,wav16k/STT_AB00172_0041_123609_to_126271.wav,ལས་ཀྱི་དམ་པ་གཞན་དོན་དགའ་བོར་ཞིང་།
STT_AB00172_0049_150179_to_151902,རྒྱལ་བའི་རིགས་དང་ལྡན་པ་རྣམས་ ,rgyal ba'i rigs dang ldan pa rnams _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0049_150179_to_151902.wav,STT_AB,2,29,1.723,wav16k/STT_AB00172_0049_150179_to_151902.wav,རྒྱལ་བའི་རིགས་དང་ལྡན་པ་རྣམས་
STT_AB00172_0087_289360_to_292448,ཁས་པའི་སྐྱེ་བོ་ཀུན་གྱིས་བགྲོད་པའི་ལམ་ཆེན་པོ།  ,khas pa'i skye bo kun gyis bgrod pa'i lam chen po/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0087_289360_to_292448.wav,STT_AB,2,46,3.088,wav16k/STT_AB00172_0087_289360_to_292448.wav,མཁས་པའི་སྐྱེ་བོ་ཀུན་གྱིས་བགྲོད་པའི་ལམ་ཆེན་པོ།
STT_AB00172_0083_275196_to_279684,འདི་ན་དེ་དག་སྐྱེས་བུ་ཡིན་ཏེ་མཁས་པའང་དེ་དག་ཡིན། ཞེས་སོ།  ,'di na de dag skyes bu yin te mkhas pa'ang de dag yin/_zhes so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0083_275196_to_279684.wav,STT_AB,2,56,4.488,wav16k/STT_AB00172_0083_275196_to_279684.wav,འདི་ན་དེ་དག་སྐྱེས་བུ་ཡིན་ཏེ་མཁས་པའང་དེ་དག་ཡིན། ཞེས་སོ།
STT_AB00172_0088_294087_to_300162,མཐོང་བ་དང་ཐོས་པ་དང་དྲན་པ་དང་རེག་པས་ཀྱང་འགྲོ་བ་ཀུན་གྱི་གསོས་སུ་འགྱུར་བ།  ,mthong ba dang thos pa dang dran pa dang reg pas kyang 'gro ba kun gyi gsos su 'gyur ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0088_294087_to_300162.wav,STT_AB,2,72,6.075,wav16k/STT_AB00172_0088_294087_to_300162.wav,མཐོང་བ་དང་ཐོས་པ་དང་དྲན་པ་དང་རེག་པས་ཀྱང་འགྲོ་བ་ཀུན་གྱི་གསོས་སུ་གྱུར་པ།
STT_AB00172_0047_144991_to_147175,བྲལ་བའི་ཕྱོགས་སུ་བགྲོད་མི་ནུས་པར་ ,bral ba'i phyogs su bgrod mi nus par _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0047_144991_to_147175.wav,STT_AB,2,34,2.184,wav16k/STT_AB00172_0047_144991_to_147175.wav,བྲལ་བའི་ཕྱོགས་སུ་བགྲོད་མི་ནུས་པར་
STT_AB00172_0048_147568_to_149121,གོམ་འགྲོས་འཁྱོར་བ་མཐོང་ན།  ,gom 'gros 'khyor ba mthong na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0048_147568_to_149121.wav,STT_AB,2,27,1.553,wav16k/STT_AB00172_0048_147568_to_149121.wav,གོམས་འགྲིས་འཆོལ་བ་མཐོང་ན།
